[2026-03-21T13:33:25.459Z] GET https://mutjan.github.io/benchmark-sirius/index.html → 200 (274ms, 40940B)
[2026-03-21T13:33:25.741Z] GET https://fonts.googleapis.com/css2?family=Cinzel:wght@400;600;700&family=Inter:wght@300;400;500;600;700&display=swap → pending (?ms, ?B)
[2026-03-21T13:33:26.221Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (352ms, 48432B)
[2026-03-21T13:33:26.221Z] GET https://fonts.gstatic.com/s/cinzel/v26/8vIJ7ww63mVu7gt79mT7PkRXMw.woff2 → 200 (366ms, 25888B)
[2026-03-21T13:36:55.708Z] GET https://mutjan.github.io/benchmark-sirius/data/scores.json → pending (?ms, ?B)
[2026-03-21T13:39:49.402Z] GET https://mutjan.github.io/benchmark-sirius/data/scores.json → 200 (1ms, 2950B)
[2026-03-21T13:44:12.042Z] GET https://mutjan.github.io/benchmark-sirius/ → pending (?ms, ?B)
[2026-03-21T13:44:12.502Z] GET https://fonts.googleapis.com/css2?family=Cinzel:wght@400;600;700&family=Inter:wght@300;400;500;600;700&display=swap → 200 (1ms, 15061B)
[2026-03-21T13:44:12.516Z] GET https://fonts.gstatic.com/s/cinzel/v26/8vIJ7ww63mVu7gt79mT7PkRXMw.woff2 → 200 (?ms, ?B)
[2026-03-21T13:44:12.516Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, ?B)
[2026-03-21T13:47:18.533Z] GET https://mutjan.github.io/benchmark-sirius/data/scores.json → pending (?ms, ?B)
[2026-03-21T13:47:45.135Z] GET https://mutjan.github.io/benchmark-sirius/ → 200 (1ms, 40940B)
[2026-03-21T13:47:45.139Z] GET https://fonts.googleapis.com/css2?family=Cinzel:wght@400;600;700&family=Inter:wght@300;400;500;600;700&display=swap → 200 (?ms, 15061B)
[2026-03-21T13:47:45.147Z] GET https://fonts.gstatic.com/s/cinzel/v26/8vIJ7ww63mVu7gt79mT7PkRXMw.woff2 → 200 (?ms, ?B)
[2026-03-21T13:47:45.147Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, ?B)
[2026-03-21T14:14:49.534Z] GET http://localhost:8765/ → 200 (3ms, 49897B)
[2026-03-21T14:14:49.590Z] GET https://fonts.googleapis.com/css2?family=Cinzel:wght@400;600;700&family=Inter:wght@300;400;500;600;700&display=swap → 200 (?ms, 15061B)
[2026-03-21T14:14:49.631Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (9ms, 48432B)
[2026-03-21T14:14:49.631Z] GET https://fonts.gstatic.com/s/cinzel/v26/8vIJ7ww63mVu7gt79mT7PkRXMw.woff2 → 200 (9ms, 25888B)
[2026-03-21T14:14:49.631Z] GET http://localhost:8765/data/scores.json → 200 (18ms, 9360B)
